,Initial order ,,,,Date,2/12/2022,,,,,,,,,,
Type,Description,SKU,Quantity,delivered,sold by,delivered by,quantity Multiplyer,invenquant,stored by,expiration date,storage location,price,Extended,category,Invoice line #,Detailed description
Food,,,,,,,,,,,,,,,,
Food,Chicken breast,c1001,21,21,lb,case,20,420,lb,3/20/2022,fridge,3.90,1638.00,Cold,1,"raw unbreaded chicken breast, fresh, 20 lb cases 6 oz breast, cut to 1.5 oz per strip"
Food,flour,d2001,5,5,each,bag,1,250,lb,6/14/2024,pantry,19.50,97.50,Dry,2,"AP flour, 50 lb sack"
Food,salt,d2002,1,1,each,bag,1,150,lb,4/3/2026,pantry,25.95,25.95,Dry,3,"bulk sea salt, 50 lb bag"
Food,black pepper,d2003,2,2,each,container,1,10,lb,5/8/2026,pantry,30.00,60.00,Dry,4,5 lb plastic jar
Food,Fries,f3002,30,30,case,case,1,900,lb,4/6/2022,freezer,30.90,927.00,Frozen,5,"30 lb case,  oz per serving"
Food,Thick bread,d2004,9,9,Case,case,1,1530,slice,3/14/2022,pantry,37.99,341.91,Dry,6,170 slices per case.
Food,Potato Salad,c1002,10,10,each,each,1,50,lb,4/12/2022,fridge,17.01,170.10,Cold,7,"Spring Glen 5lb Dutch potato saled,"
Food,Liquid margarine,c1003,4,4,4/case,case,1,16,unit,8/3/2030,fridge,57.81,231.24,Cold,8,"Liquid margarine, 4/case"
Food,Garlic powder,d2005,2,2,each,each,1,10,lb,6/12/2022,pantry,20.49,40.98,Dry,9,Granulated garlic 5lb
Food,Ranch,c1004,12,12,each,each,1,12,gallon,3/27/2022,fridge,39.98,479.76,Cold,10,Ranch dressing 1 gallon
Food,Ketchup-Lg container,d2006,3,3,6/case,case,1,18,unit,6/23/2024,pantry,29.99,89.97,Dry,11,"Red Gold fancy ketchup Jug with pump, 6/case"
Food,Ketchup-packets,d2007,3,3,1000/case,case,1,3000,unit,4/30/2024,pantry,25.49,76.47,Dry,12,"Frenchs ketchup packets, 1000/case"
Food,Mayo,d2008,6,6,4gal/case,case,1,30,gallon,9/12/2022,pantry,89.99,539.94,Dry,13,"Hellmanns 1 gal Mayo, 5/case"
Food,Tea bags,d2009,4,4,24/case,case,1,96,unit,6/7/2028,pantry,29.49,117.96,Dry,14,"Lipton tea bags, 24/case"
Food,Sugar for tea,d2010,4,4,each,bag,1,100,lb,7/25/2030,pantry,21.99,87.96,Dry,15,"sugar, 25 lb bag"
Food,Worcestershire Sauce,d2011,1,1,4gal/case,case,1,4,gallon,6/24/2025,pantry,47.49,47.49,Dry,16,"worcestershire sauce, 4gal/case"
Food,Sliced cheese,c1005,1,1,6blk/case,case,1,960,slice,3/29/2022,fridge,88.38,88.38,Cold,17,"American cheese slices160 slice/block, 6block"
Food,Bacon slices,c1006,1,1,300slc/case,case,1,300,slice,4/11/2022,fridge,57.44,57.44,Cold,18,"Precooked bacon slices, 300/case"
Food,Fryer oil,d2012,6,6,35lb bucket,bucket,1,210,lb,7/12/2030,pantry,45.68,274.08,Dry,19,"Fryer oil, 35 lb bucket"
Bib,,,,,,,,,,,,,,,,
Bib,Jones-Dr Jones ,d2013,2,2,each,bag in box,1,6,gallon,5/4/2030,pantry,55.99,111.98,Dry,25,Jones Dr Jones bag in box 3 gallon
