Date,Order sumary,,,Totals
1/2/2022,Item,Quantity,Total,"$1,533.75 "
1/2/2022,501,25,,
1/2/2022,502,25,,
1/2/2022,503,25,,
1/2/2022,504,20,,
1/2/2022,505,5,,
1/2/2022,506,10,,
1/2/2022,507,25,,
1/2/2022,508,10,,
1/2/2022,509,45,,
1/2/2022,510,25,,
1/2/2022,511,10,,
1/2/2022,512,5,,
1/2/2022,513,100,,
1/2/2022,514,30,,
1/2/2022,515,20,,
1/2/2022,516,10,,
1/2/2022,517,30,,
1/2/2022,518,50,,
1/2/2022,519,25,,
,,,,
1/3/2022,Item,Quantity,Total,"$1,164.25 "
1/3/2022,501,20,,
1/3/2022,502,25,,
1/3/2022,503,22,,
1/3/2022,504,20,,
1/3/2022,505,5,,
1/3/2022,506,0,,
1/3/2022,507,25,,
1/3/2022,508,10,,
1/3/2022,509,45,,
1/3/2022,510,25,,
1/3/2022,511,10,,
1/3/2022,512,5,,
1/3/2022,513,65,,
1/3/2022,514,30,,
1/3/2022,515,20,,
1/3/2022,516,10,,
1/3/2022,517,30,,
1/3/2022,518,50,,
1/3/2022,519,25,,
,,,,
1/4/2022,Item,Quantity,Total,"$1,358.75 "
1/4/2022,501,27,,
1/4/2022,502,30,,
1/4/2022,503,30,,
1/4/2022,504,20,,
1/4/2022,505,5,,
1/4/2022,506,2,,
1/4/2022,507,25,,
1/4/2022,508,12,,
1/4/2022,509,45,,
1/4/2022,510,25,,
1/4/2022,511,6,,
1/4/2022,512,5,,
1/4/2022,513,65,,
1/4/2022,514,50,,
1/4/2022,515,20,,
1/4/2022,516,10,,
1/4/2022,517,30,,
1/4/2022,518,50,,
1/4/2022,519,25,,
,,,,
1/5/2022,Item,Quantity,Total,"$1,638.30 "
1/5/2022,501,36,,
1/5/2022,502,36,,
1/5/2022,503,36,,
1/5/2022,504,24,,
1/5/2022,505,6,,
1/5/2022,506,2,,
1/5/2022,507,30,,
1/5/2022,508,14,,
1/5/2022,509,54,,
1/5/2022,510,30,,
1/5/2022,511,7,,
1/5/2022,512,6,,
1/5/2022,513,78,,
1/5/2022,514,60,,
1/5/2022,515,24,,
1/5/2022,516,12,,
1/5/2022,517,36,,
1/5/2022,518,60,,
1/5/2022,519,30,,
,,,,
1/6/2022,Item,Quantity,Total,"$2,085.10 "
1/6/2022,501,46,,
1/6/2022,502,46,,
1/6/2022,503,46,,
1/6/2022,504,31,,
1/6/2022,505,7,,
1/6/2022,506,2,,
1/6/2022,507,39,,
1/6/2022,508,18,,
1/6/2022,509,70,,
1/6/2022,510,39,,
1/6/2022,511,9,,
1/6/2022,512,7,,
1/6/2022,513,101,,
1/6/2022,514,78,,
1/6/2022,515,31,,
1/6/2022,516,15,,
1/6/2022,517,46,,
1/6/2022,518,78,,
1/6/2022,519,39,,
,,,,
1/7/2022,Item,Quantity,Total,"$2,519.10 "
1/7/2022,501,46,,
1/7/2022,502,46,,
1/7/2022,503,46,,
1/7/2022,504,31,,
1/7/2022,505,17,,
1/7/2022,506,14,,
1/7/2022,507,39,,
1/7/2022,508,18,,
1/7/2022,509,70,,
1/7/2022,510,39,,
1/7/2022,511,9,,
1/7/2022,512,7,,
1/7/2022,513,101,,
1/7/2022,514,78,,
1/7/2022,515,31,,
1/7/2022,516,15,,
1/7/2022,517,46,,
1/7/2022,518,78,,
1/7/2022,519,39,,
,,,,
1/8/2022,Item,Quantity,Total,"$3,484.10 "
1/8/2022,501,64,,
1/8/2022,502,64,,
1/8/2022,503,64,,
1/8/2022,504,43,,
1/8/2022,505,23,,
1/8/2022,506,19,,
1/8/2022,507,54,,
1/8/2022,508,25,,
1/8/2022,509,98,,
1/8/2022,510,54,,
1/8/2022,511,12,,
1/8/2022,512,9,,
1/8/2022,513,141,,
1/8/2022,514,109,,
1/8/2022,515,43,,
1/8/2022,516,21,,
1/8/2022,517,64,,
1/8/2022,518,109,,
1/8/2022,519,54,,
,,,,
1/9/2022,Item,Quantity,Total,"$1,704.75 "
1/9/2022,501,33,,
1/9/2022,502,33,,
1/9/2022,503,33,,
1/9/2022,504,15,,
1/9/2022,505,6,,
1/9/2022,506,13,,
1/9/2022,507,22,,
1/9/2022,508,14,,
1/9/2022,509,40,,
1/9/2022,510,21,,
1/9/2022,511,8,,
1/9/2022,512,7,,
1/9/2022,513,80,,
1/9/2022,514,25,,
1/9/2022,515,30,,
1/9/2022,516,5,,
1/9/2022,517,23,,
1/9/2022,518,45,,
1/9/2022,519,30,,
,,,,
1/10/2022,Item,Quantity,Total,"$1,227.25 "
1/10/2022,501,23,,
1/10/2022,502,25,,
1/10/2022,503,21,,
1/10/2022,504,17,,
1/10/2022,505,7,,
1/10/2022,506,1,,
1/10/2022,507,20,,
1/10/2022,508,11,,
1/10/2022,509,43,,
1/10/2022,510,23,,
1/10/2022,511,13,,
1/10/2022,512,7,,
1/10/2022,513,55,,
1/10/2022,514,35,,
1/10/2022,515,23,,
1/10/2022,516,13,,
1/10/2022,517,27,,
1/10/2022,518,45,,
1/10/2022,519,30,,
,,,,
1/11/2022,Item,Quantity,Total,"$1,493.05 "
1/11/2022,501,28,,
1/11/2022,502,25,,
1/11/2022,503,33,,
1/11/2022,504,18,,
1/11/2022,505,4,,
1/11/2022,506,5,,
1/11/2022,507,30,,
1/11/2022,508,15,,
1/11/2022,509,52,,
1/11/2022,510,30,,
1/11/2022,511,10,,
1/11/2022,512,3,,
1/11/2022,513,73,,
1/11/2022,514,45,,
1/11/2022,515,15,,
1/11/2022,516,18,,
1/11/2022,517,25,,
1/11/2022,518,45,,
1/11/2022,519,15,,
,,,,
1/12/2022,Item,Quantity,Total,"$1,281.85 "
1/12/2022,501,23,,
1/12/2022,502,23,,
1/12/2022,503,24,,
1/12/2022,504,15,,
1/12/2022,505,4,,
1/12/2022,506,1,,
1/12/2022,507,25,,
1/12/2022,508,19,,
1/12/2022,509,45,,
1/12/2022,510,25,,
1/12/2022,511,10,,
1/12/2022,512,9,,
1/12/2022,513,56,,
1/12/2022,514,60,,
1/12/2022,515,19,,
1/12/2022,516,8,,
1/12/2022,517,29,,
1/12/2022,518,50,,
1/12/2022,519,20,,
,,,,
1/13/2022,Item,Quantity,Total,"$1,885.40 "
1/13/2022,501,40,,
1/13/2022,502,40,,
1/13/2022,503,40,,
1/13/2022,504,28,,
1/13/2022,505,5,,
1/13/2022,506,4,,
1/13/2022,507,34,,
1/13/2022,508,15,,
1/13/2022,509,60,,
1/13/2022,510,30,,
1/13/2022,511,13,,
1/13/2022,512,10,,
1/13/2022,513,89,,
1/13/2022,514,70,,
1/13/2022,515,29,,
1/13/2022,516,10,,
1/13/2022,517,40,,
1/13/2022,518,65,,
1/13/2022,519,30,,
,,,,
1/14/2022,Item,Quantity,Total,"$2,611.50 "
1/14/2022,501,59,,
1/14/2022,502,59,,
1/14/2022,503,59,,
1/14/2022,504,35,,
1/14/2022,505,16,,
1/14/2022,506,13,,
1/14/2022,507,35,,
1/14/2022,508,14,,
1/14/2022,509,65,,
1/14/2022,510,32,,
1/14/2022,511,6,,
1/14/2022,512,4,,
1/14/2022,513,90,,
1/14/2022,514,65,,
1/14/2022,515,25,,
1/14/2022,516,19,,
1/14/2022,517,49,,
1/14/2022,518,83,,
1/14/2022,519,45,,
,,,,
1/15/2022,Item,Quantity,Total,"$4,214.75 "
1/15/2022,501,75,,
1/15/2022,502,76,,
1/15/2022,503,79,,
1/15/2022,504,49,,
1/15/2022,505,30,,
1/15/2022,506,25,,
1/15/2022,507,60,,
1/15/2022,508,35,,
1/15/2022,509,110,,
1/15/2022,510,65,,
1/15/2022,511,19,,
1/15/2022,512,15,,
1/15/2022,513,150,,
1/15/2022,514,120,,
1/15/2022,515,50,,
1/15/2022,516,30,,
1/15/2022,517,69,,
1/15/2022,518,120,,
1/15/2022,519,60,,
,,,,
1/16/2022,Item,Quantity,Total,"$1,570.25 "
1/16/2022,501,23,,
1/16/2022,502,20,,
1/16/2022,503,21,,
1/16/2022,504,17,,
1/16/2022,505,6,,
1/16/2022,506,12,,
1/16/2022,507,23,,
1/16/2022,508,13,,
1/16/2022,509,35,,
1/16/2022,510,30,,
1/16/2022,511,15,,
1/16/2022,512,6,,
1/16/2022,513,110,,
1/16/2022,514,40,,
1/16/2022,515,30,,
1/16/2022,516,20,,
1/16/2022,517,23,,
1/16/2022,518,45,,
1/16/2022,519,33,,
,,,,
1/17/2022,Item,Quantity,Total,"$1,325.75 "
1/17/2022,501,23,,
1/17/2022,502,24,,
1/17/2022,503,26,,
1/17/2022,504,17,,
1/17/2022,505,7,,
1/17/2022,506,3,,
1/17/2022,507,19,,
1/17/2022,508,13,,
1/17/2022,509,35,,
1/17/2022,510,30,,
1/17/2022,511,13,,
1/17/2022,512,6,,
1/17/2022,513,70,,
1/17/2022,514,40,,
1/17/2022,515,30,,
1/17/2022,516,15,,
1/17/2022,517,40,,
1/17/2022,518,40,,
1/17/2022,519,30,,
,,,,
1/18/2022,Item,Quantity,Total,"$1,409.50 "
1/18/2022,501,30,,
1/18/2022,502,28,,
1/18/2022,503,28,,
1/18/2022,504,23,,
1/18/2022,505,7,,
1/18/2022,506,4,,
1/18/2022,507,29,,
1/18/2022,508,15,,
1/18/2022,509,35,,
1/18/2022,510,33,,
1/18/2022,511,4,,
1/18/2022,512,7,,
1/18/2022,513,60,,
1/18/2022,514,40,,
1/18/2022,515,23,,
1/18/2022,516,13,,
1/18/2022,517,23,,
1/18/2022,518,45,,
1/18/2022,519,30,,
,,,,
1/19/2022,Item,Quantity,Total,"$1,600.75 "
1/19/2022,501,34,,
1/19/2022,502,34,,
1/19/2022,503,34,,
1/19/2022,504,25,,
1/19/2022,505,7,,
1/19/2022,506,3,,
1/19/2022,507,31,,
1/19/2022,508,11,,
1/19/2022,509,45,,
1/19/2022,510,33,,
1/19/2022,511,10,,
1/19/2022,512,7,,
1/19/2022,513,65,,
1/19/2022,514,57,,
1/19/2022,515,27,,
1/19/2022,516,18,,
1/19/2022,517,30,,
1/19/2022,518,59,,
1/19/2022,519,30,,
,,,,
1/20/2022,Item,Quantity,Total,"$2,273.50 "
1/20/2022,501,48,,
1/20/2022,502,43,,
1/20/2022,503,43,,
1/20/2022,504,27,,
1/20/2022,505,10,,
1/20/2022,506,4,,
1/20/2022,507,38,,
1/20/2022,508,26,,
1/20/2022,509,75,,
1/20/2022,510,43,,
1/20/2022,511,15,,
1/20/2022,512,9,,
1/20/2022,513,85,,
1/20/2022,514,78,,
1/20/2022,515,35,,
1/20/2022,516,27,,
1/20/2022,517,47,,
1/20/2022,518,79,,
1/20/2022,519,39,,
,,,,
1/21/2022,Item,Quantity,Total,"$2,942.25 "
1/21/2022,501,50,,
1/21/2022,502,49,,
1/21/2022,503,47,,
1/21/2022,504,39,,
1/21/2022,505,25,,
1/21/2022,506,20,,
1/21/2022,507,39,,
1/21/2022,508,29,,
1/21/2022,509,69,,
1/21/2022,510,49,,
1/21/2022,511,15,,
1/21/2022,512,9,,
1/21/2022,513,100,,
1/21/2022,514,65,,
1/21/2022,515,31,,
1/21/2022,516,25,,
1/21/2022,517,45,,
1/21/2022,518,72,,
1/21/2022,519,49,,
,,,,
1/22/2022,Item,Quantity,Total,"$6,086.25 "
1/22/2022,501,75,,
1/22/2022,502,74,,
1/22/2022,503,74,,
1/22/2022,504,47,,
1/22/2022,505,27,,
1/22/2022,506,93,,
1/22/2022,507,57,,
1/22/2022,508,28,,
1/22/2022,509,105,,
1/22/2022,510,55,,
1/22/2022,511,15,,
1/22/2022,512,11,,
1/22/2022,513,160,,
1/22/2022,514,60,,
1/22/2022,515,49,,
1/22/2022,516,29,,
1/22/2022,517,68,,
1/22/2022,518,110,,
1/22/2022,519,54,,
,,,,
1/23/2022,Item,Quantity,Total,"$1,711.50 "
1/23/2022,501,23,,
1/23/2022,502,28,,
1/23/2022,503,21,,
1/23/2022,504,19,,
1/23/2022,505,7,,
1/23/2022,506,13,,
1/23/2022,507,29,,
1/23/2022,508,13,,
1/23/2022,509,49,,
1/23/2022,510,27,,
1/23/2022,511,13,,
1/23/2022,512,7,,
1/23/2022,513,110,,
1/23/2022,514,34,,
1/23/2022,515,23,,
1/23/2022,516,12,,
1/23/2022,517,32,,
1/23/2022,518,48,,
1/23/2022,519,29,,
,,,,
1/24/2022,Item,Quantity,Total,"$1,342.55 "
1/24/2022,501,24,,
1/24/2022,502,26,,
1/24/2022,503,26,,
1/24/2022,504,21,,
1/24/2022,505,6,,
1/24/2022,506,1,,
1/24/2022,507,27,,
1/24/2022,508,13,,
1/24/2022,509,48,,
1/24/2022,510,27,,
1/24/2022,511,13,,
1/24/2022,512,8,,
1/24/2022,513,68,,
1/24/2022,514,33,,
1/24/2022,515,24,,
1/24/2022,516,13,,
1/24/2022,517,35,,
1/24/2022,518,57,,
1/24/2022,519,23,,
,,,,
1/25/2022,Item,Quantity,Total,"$1,487.15 "
1/25/2022,501,29,,
1/25/2022,502,29,,
1/25/2022,503,29,,
1/25/2022,504,19,,
1/25/2022,505,7,,
1/25/2022,506,4,,
1/25/2022,507,30,,
1/25/2022,508,15,,
1/25/2022,509,42,,
1/25/2022,510,28,,
1/25/2022,511,9,,
1/25/2022,512,7,,
1/25/2022,513,69,,
1/25/2022,514,55,,
1/25/2022,515,23,,
1/25/2022,516,15,,
1/25/2022,517,35,,
1/25/2022,518,53,,
1/25/2022,519,21,,
,,,,
1/26/2022,Item,Quantity,Total,"$1,930.60 "
1/26/2022,501,39,,
1/26/2022,502,39,,
1/26/2022,503,39,,
1/26/2022,504,27,,
1/26/2022,505,9,,
1/26/2022,506,5,,
1/26/2022,507,36,,
1/26/2022,508,19,,
1/26/2022,509,59,,
1/26/2022,510,35,,
1/26/2022,511,9,,
1/26/2022,512,9,,
1/26/2022,513,81,,
1/26/2022,514,64,,
1/26/2022,515,29,,
1/26/2022,516,18,,
1/26/2022,517,41,,
1/26/2022,518,70,,
1/26/2022,519,25,,
,,,,
1/27/2022,Item,Quantity,Total,"$2,342.25 "
1/27/2022,501,49,,
1/27/2022,502,49,,
1/27/2022,503,49,,
1/27/2022,504,35,,
1/27/2022,505,9,,
1/27/2022,506,5,,
1/27/2022,507,42,,
1/27/2022,508,21,,
1/27/2022,509,74,,
1/27/2022,510,42,,
1/27/2022,511,11,,
1/27/2022,512,9,,
1/27/2022,513,105,,
1/27/2022,514,78,,
1/27/2022,515,34,,
1/27/2022,516,19,,
1/27/2022,517,49,,
1/27/2022,518,81,,
1/27/2022,519,43,,
,,,,
1/28/2022,Item,Quantity,Total,"$2,877.50 "
1/28/2022,501,51,,
1/28/2022,502,51,,
1/28/2022,503,51,,
1/28/2022,504,34,,
1/28/2022,505,19,,
1/28/2022,506,19,,
1/28/2022,507,43,,
1/28/2022,508,21,,
1/28/2022,509,74,,
1/28/2022,510,43,,
1/28/2022,511,10,,
1/28/2022,512,9,,
1/28/2022,513,110,,
1/28/2022,514,81,,
1/28/2022,515,35,,
1/28/2022,516,19,,
1/28/2022,517,49,,
1/28/2022,518,82,,
1/28/2022,519,43,,
,,,,
1/29/2022,Item,Quantity,Total,"$6,173.95 "
1/29/2022,501,95,,
1/29/2022,502,95,,
1/29/2022,503,95,,
1/29/2022,504,56,,
1/29/2022,505,29,,
1/29/2022,506,80,,
1/29/2022,507,60,,
1/29/2022,508,33,,
1/29/2022,509,110,,
1/29/2022,510,64,,
1/29/2022,511,19,,
1/29/2022,512,20,,
1/29/2022,513,167,,
1/29/2022,514,29,,
1/29/2022,515,51,,
1/29/2022,516,29,,
1/29/2022,517,70,,
1/29/2022,518,120,,
1/29/2022,519,65,,
